"";"Conceitos";"Ciclo de Vida";"Análise Requisitos";"Gestão de projetos";"Modelos e bases de dados";"Análise estruturada";"DFD's";"E-R";"Lógica";"AOO";"Casos de Uso";"Classes";"Sequencia";"Doc Conceitos";"Doc An. Estruturada";"Doc An OO";"Doc An Soft"
"Conceitos";"0";"bem fraca";"bem fraca";"fraca";"bem fraca";"bem fraca";"fraca";"fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca"
"Ciclo de Vida";"bem fraca";"0";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca"
"Análise Requisitos";"bem fraca";"bem fraca";"0";"bem fraca";"fraca";"bem fraca";"moderada";"moderada";"bem fraca";"bem fraca";"moderada";"fraca";"fraca";"fraca";"bem fraca";"moderada";"fraca"
"Gestão de projetos";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"moderada";"moderada";"bem fraca";"bem fraca";"fraca";"moderada";"fraca";"bem fraca";"fraca";"fraca";"bem fraca"
"Modelos e bases de dados";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"moderada";"bem fraca";"fraca";"moderada";"bem fraca";"bem fraca";"fraca"
"Análise estruturada";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"fraca";"bem fraca";"moderada";"moderada";"fraca";"fraca";"bem fraca";"moderada";"fraca"
"DFD's";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"fraca";"moderada"
"E-R";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"moderada";"bem fraca";"fraca";"fraca"
"Lógica";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"fraca";"bem fraca";"bem fraca";"fraca";"bem fraca";"moderada";"bem fraca"
"AOO";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca"
"Casos de Uso";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"0";"0";"bem fraca";"bem fraca";"bem fraca";"moderada"
"Classes";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"0";"0";"bem fraca";"bem fraca";"bem fraca";"bem fraca"
"Sequencia";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"0";"0";"bem fraca";"bem fraca";"bem fraca";"fraca"
"Doc Conceitos";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca";"bem fraca"
"Doc An. Estruturada";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca";"bem fraca"
"Doc An OO";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0";"bem fraca"
"Doc An Soft";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"bem fraca";"0"
